GBT-4o(vienkāršs): ;GBT-4o(sarežģīts):;Cloud3.5(vienkāršs);Cloud3.5(sarežģīts);DeepseeV3(vienkāršs);DeepseeV3(sarežģīts);Gemini2.0(vienkāršs);Gemini2.0(sarežģīts)
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE
FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE
FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE
TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
